day,p5,p50,p95,real_last_window
90,0.8796435215751137,1.0425176343942746,1.2508313490619418,1.087002136108867
91,0.8791560134072355,1.0426975696873961,1.2513919268908447,1.0912547283386154
92,0.8785405859569162,1.0426232821586017,1.252888632358774,1.0950229931067343
93,0.8787287816752773,1.042986168863372,1.2545946464781794,1.0956430873533465
94,0.877908905458394,1.0432029485985355,1.257089494061894,1.0919522090239124
95,0.8782269469227681,1.0440077383575852,1.2604925238335825,1.0905722231716966
96,0.8774393227244977,1.0444746626481454,1.2623805962661974,1.0864618228554235
97,0.8776716625970847,1.0447459127444487,1.262536698054525,1.0916064078075534
98,0.8779764866673525,1.0447526335532082,1.2639765593834453,1.1010875729024572
99,0.8769416084762092,1.0459045902188597,1.2637594837794133,1.0997393594543063
100,0.8761920141854551,1.0468807689492925,1.2683659013396074,1.0959610504756518
101,0.8750629680230897,1.04726458227575,1.2706565124701616,1.1037660657741513
102,0.8749615338394173,1.0477844758754,1.2708981461652247,1.1062214130245314
103,0.8747633726572945,1.0479855294779008,1.2724859008728973,1.1108270807053655
104,0.8736270493907344,1.048614926535817,1.27364745205978,1.1091267171121635
105,0.8733247585807452,1.04923118940332,1.275802471606694,1.1072527317774812
106,0.8739360925769591,1.0499077605618181,1.2795379842796675,1.1045765435363153
107,0.8737249974125448,1.0503259871272106,1.281837717834221,1.1038689539825042
108,0.8742856585791471,1.0510722353501982,1.2818125540681378,1.091976079417008
109,0.8736640916168638,1.0520586265086247,1.2852532713327502,1.0991546139856367
110,0.8729740454977988,1.0524690870438813,1.2866757833057878,1.1138045549110924
111,0.8736468310844135,1.0525491628795631,1.2879230955718848,1.1157419034578355
112,0.8733967716054581,1.0530443216655836,1.288018407773284,1.121835870283244
113,0.8713090893388672,1.0536047339142178,1.2873639887547816,1.1298512014989193
114,0.8713128766917152,1.0539625389949572,1.291831336841311,1.1343744945642034
115,0.872349378879176,1.054647083369491,1.2923291665402943,1.131011225624797
116,0.8713046101997058,1.0551393917131953,1.2938634171006973,1.1242456790976134
117,0.8707505360195013,1.056250861486141,1.2960191964463645,1.1237896448296154
118,0.8701262724583451,1.0553235081902408,1.2969199018653896,1.131828814213641
119,0.8693413946873783,1.056404973126419,1.2982171788233188,1.157693961708892
120,0.8686943308772387,1.0570239202976182,1.300517361737856,1.1405673065372046
121,0.8693716835487659,1.058015783437686,1.3010176162849345,1.1556323547456564
122,0.868053779112079,1.0586562221065647,1.3018903439218479,1.1597882413324108
123,0.867627094856223,1.0591498049744295,1.3033712296604925,1.1556546542596182
124,0.8670132575296032,1.0587571873207717,1.3042472683244508,1.1508993210636376
125,0.8652304813479224,1.0591482076245935,1.3066589197222964,1.1309201837967486
126,0.8645703179077452,1.0596819177233145,1.3116455996762801,1.126652790046137
