family,lambda,n,seed,df_used,vol_mult,tail_mult,apply_to,VaR5,ES5,VaR1,ES1,mean,vol
S2_Crisis_Credito_2008,0.55,25000,777,8.075,1.3025000000000002,1.385,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.037723206474150665,-0.06252183840976475,-0.07654155995886928,-0.10427190165838818,0.0005360589014779442,0.025263850271618652
S2_Crisis_Credito_2008,0.6000000000000001,25000,777,7.8999999999999995,1.33,1.42,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.039105363902078076,-0.06540369246204215,-0.08018177024375428,-0.10993818617467094,0.00048270862654040743,0.026231275672060315
S2_Crisis_Credito_2008,0.65,25000,777,7.7250000000000005,1.3575,1.455,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.040799863342931876,-0.06954052699639578,-0.08963647688864876,-0.12165195783897119,0.00028922292292172174,0.027214438655377007
S2_Crisis_Credito_2008,0.7000000000000001,25000,777,7.55,1.3850000000000002,1.4900000000000002,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.04216642946947348,-0.07055311106095749,-0.08925161401418166,-0.1231882689071623,0.0004008924191924404,0.028097754765810768
S2_Crisis_Credito_2008,0.75,25000,777,7.375,1.4125,1.525,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.043181091348509275,-0.07486286344192553,-0.09423359021317684,-0.1344738006921877,0.0002956407009594702,0.029377380256280113
S2_Crisis_Credito_2008,0.8,25000,777,7.199999999999999,1.4400000000000002,1.56,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.04539475624014276,-0.07863076055571334,-0.09984475985309453,-0.1381114943933273,0.00024325470710366125,0.030400654664316917
S2_Crisis_Credito_2008,0.8500000000000001,25000,777,7.0249999999999995,1.4675,1.595,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.04593908536972885,-0.08067772162446983,-0.10484522301549129,-0.142106463200168,0.00023325635352333595,0.031230440773896705
S2_Crisis_Credito_2008,0.9,25000,777,6.8500000000000005,1.495,1.63,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.04689982600442885,-0.08358025882217499,-0.10647427705733181,-0.15321186334567596,0.00011936117733294296,0.03230882718931122
S2_Crisis_Credito_2008,0.9500000000000001,25000,777,6.675,1.5225,1.665,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.05003297612970856,-0.08976117266748398,-0.11656026119801097,-0.16463400122412541,7.503074011343127e-06,0.034022047505097075
S2_Crisis_Credito_2008,1.0,25000,777,6.5,1.55,1.7,"HYG,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM",-0.0510118237298267,-0.0907660122208138,-0.11678617448202958,-0.16528744224126557,2.7825669845932665e-06,0.034832991977653126
S3_Alternativo_Liquidez_Global,0.0,25000,777,10.0,1.0,1.0,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.02412546369118767,-0.036388730270450184,-0.043685787191313455,-0.057037007192179,0.000970545161134435,0.016027093275480308
S3_Alternativo_Liquidez_Global,0.05,25000,777,9.9,1.0225,1.0225,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.02509064523008696,-0.037877807959809925,-0.045629495602675915,-0.059701909421035065,0.0009811159227919696,0.016672735634250275
S3_Alternativo_Liquidez_Global,0.1,25000,777,9.8,1.045,1.045,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.025749743907240254,-0.03944075207540807,-0.04796992823077245,-0.06308356768686155,0.0009077745101402095,0.01710548841689939
S3_Alternativo_Liquidez_Global,0.15000000000000002,25000,777,9.7,1.0675,1.0675,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.026461922285391598,-0.04108270822430258,-0.0497998877020812,-0.0665886515128247,0.0009103697268424623,0.017759346116150234
S3_Alternativo_Liquidez_Global,0.2,25000,777,9.6,1.09,1.09,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.027226161886534008,-0.04270837311631691,-0.05114594737655219,-0.07002929987756638,0.0008570108000901661,0.01832208668394881
S3_Alternativo_Liquidez_Global,0.25,25000,777,9.5,1.1125,1.1125,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.02820096726596097,-0.04439648279442661,-0.052920110045234225,-0.07315206046608369,0.000828956902779007,0.018931764416883833
S3_Alternativo_Liquidez_Global,0.30000000000000004,25000,777,9.4,1.135,1.135,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.029749025089782333,-0.046533249886476655,-0.05727544794410702,-0.07637034692398871,0.0008005022628297058,0.0196763468888039
S3_Alternativo_Liquidez_Global,0.35000000000000003,25000,777,9.299999999999999,1.1575,1.1575,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03078269962402166,-0.04769898393876605,-0.05830730438459441,-0.07767671299091347,0.0007937971032852668,0.02015482825853656
S3_Alternativo_Liquidez_Global,0.4,25000,777,9.2,1.18,1.18,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03186361645191731,-0.04966598420092874,-0.060995427949693835,-0.0809235028358277,0.0007420288834292898,0.020876652549551476
S3_Alternativo_Liquidez_Global,0.45,25000,777,9.1,1.2025000000000001,1.2025000000000001,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03262138876658729,-0.05187868475186449,-0.06386520358440073,-0.08558680920962143,0.0007381058718338456,0.02153354567516995
